0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5.8321,6.5926,7.475,7.4959,8.0557,8.0157,7.826,7.9874,7.8702,7.9054,7.8766,7.8373,7.9012,8.1415,8.262,8.4933,8.6381,8.3668,8.026,7.772
0,4.6201,5.3635,5.8392,6.3336,6.6546,6.8375,6.7444,6.5839,6.7435,6.8019,6.7806,6.7837,6.9785,7.3198,7.7334,7.9355,7.8197,7.662,7.3964,7.2398
0,3.6085,4.3537,4.6993,5.0119,5.2878,5.4422,5.4231,5.4861,5.4298,5.4366,5.406,5.4198,5.5332,5.755,5.9328,5.9981,6.1047,5.9566,5.7304,5.7126
0,3.9741,4.862,5.3104,5.4962,5.9035,5.9958,6.0221,6.1294,5.9803,5.992,5.9755,6.0392,6.2055,6.5067,6.839,7.1634,7.2275,7.2137,7.0346,6.7754
0,5.767,6.9404,7.2797,7.7114,8.0528,8.3576,7.9842,7.7969,7.7392,7.8019,7.6929,7.5604,7.8166,8.2138,8.4015,8.6139,8.6963,8.3514,8.0079,7.7644
0,3.737,4.3875,4.8344,5.1057,5.4311,5.6729,5.7354,5.7511,5.7915,5.8759,5.8652,5.9184,6.1087,6.4281,6.7221,6.8948,6.9218,6.7601,6.5427,6.4346
0,4.5792,5.5394,6.1124,6.3125,6.6232,7.0524,6.7141,6.682,6.6235,6.743,6.6636,6.6602,6.7788,7.0115,7.0878,7.4982,7.783,7.5318,7.1241,7.0024
0,3.3052,4.0521,4.5556,4.8077,5.0532,5.3384,5.4009,5.5649,5.5642,5.6163,5.5723,5.5722,5.7428,5.9574,6.072,6.2986,6.3989,6.1538,5.9632,5.9189
0,5.1177,6.1769,6.5654,6.9699,7.3305,7.7888,7.4844,7.5118,7.4096,7.4055,7.3732,7.5529,7.724,7.8833,7.8415,7.8938,7.996,7.5788,7.3117,7.2484
0,4.4818,5.3745,5.6669,6.0588,6.3055,6.7167,6.4832,6.4451,6.4357,6.5532,6.4916,6.4555,6.5594,6.8503,6.9568,7.0593,7.0993,6.984,6.7601,6.6396
0,2.5962,2.9849,3.4697,3.8222,4.0406,4.271,4.3232,4.4501,4.5291,4.5664,4.6346,4.7579,4.8934,4.967,5.1025,5.1853,5.3144,5.2697,5.1439,5.0236
0,2.7907,3.3488,3.9268,4.1737,4.3887,4.7402,4.6836,4.6162,4.6004,4.7135,4.7449,4.647,4.6995,4.8461,4.9719,5.1465,5.385,5.3661,5.3034,5.1851
0,1.4439,1.8142,2.1746,2.412,2.6054,2.8284,3.0413,3.1675,3.0853,3.2257,3.4452,3.6277,3.6867,3.7313,3.8511,4.0413,4.1096,4.0279,4.0216,3.9462
0,4.9623,5.4867,6.1463,6.3799,6.9415,7.3546,7.6375,7.3932,7.2147,7.3041,7.6025,8.0185,8.2867,8.2674,8.4255,9.1415,9.4667,9.0179,8.402,8.0127
0,4.7479,5.3645,6.1651,6.463,7.0722,7.4091,7.2632,7.0542,6.9979,7.0696,7.2444,7.6323,7.8849,7.8679,8.0473,8.6423,9.0254,8.727,8.4712,7.9784
0,4.6712,5.434,5.9945,6.2757,6.9497,7.2955,7.1381,6.9165,6.906,6.9648,7.0703,7.5554,8.0324,8.0719,8.1528,8.762,9.2136,8.7495,8.3079,7.8348
0,4.4597,5.1367,5.7215,6.0441,6.5015,6.8521,6.8945,6.7539,6.6583,6.7491,7.007,7.4298,7.7668,7.9605,8.0831,8.4882,8.6287,8.3997,8.089,7.6978
0,4.724,5.7408,6.2089,6.5409,7.0642,7.2481,7.034,6.9075,6.8521,6.9067,7.1468,7.6136,7.9619,7.979,7.9734,8.4073,8.4928,8.181,7.8738,7.6084
0,4.0951,5.0617,5.4512,5.7061,6.1006,6.4702,6.6483,6.663,6.5913,6.6189,6.8396,7.2053,7.556,7.5648,7.6033,8.1047,8.2081,7.9254,7.7036,7.4585
0,4.3923,5.1337,5.6837,6.0609,6.6492,6.8617,6.7515,6.5929,6.5195,6.5611,6.7153,7.2087,7.6497,8.0051,8.0639,8.2315,8.2569,7.9783,7.8271,7.5722
0,4.7701,5.698,6.2027,6.5308,7.1111,7.3018,7.1232,6.8377,6.7065,6.7395,6.9506,7.4765,7.9787,8.1485,8.1857,8.8375,8.979,8.4458,8.1877,7.7985
0,4.043,4.7571,5.4439,5.7348,6.2093,6.3953,6.3796,6.3397,6.3158,6.4133,6.5906,6.876,7.2353,7.4859,7.4926,7.7642,7.9869,7.9257,7.8185,7.5356
0,4.3109,5.176,5.9817,5.9778,6.469,6.7015,6.8214,6.8242,6.7346,6.6708,6.9009,7.2623,7.5589,7.6212,7.6434,8.2203,8.249,8.0913,7.9878,7.6996
0,4.5625,5.441,6.0159,6.3513,6.807,6.751,6.6338,6.5644,6.512,6.5816,6.7652,7.067,7.3931,7.7353,7.9268,8.247,8.4181,8.2203,8.0456,7.7265
