0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5.6841,6.3569,7.1062,7.2565,7.9337,7.4652,7.7016,7.6986,7.7231,7.9343,7.9815,8.0383,7.921,8.0186,8.0363,8.2095,8.4907,8.635,8.7436,8.3954
0,5.9511,6.5696,7.2912,7.655,8.1039,7.7491,8.119,8.3996,8.3292,8.6112,8.6833,8.7171,8.8396,8.8421,8.5863,8.4469,8.3624,8.4163,8.5549,8.154
0,5.9847,6.8105,7.4309,8.0062,8.4334,7.9468,7.9844,7.9249,7.6465,7.804,7.8053,7.8569,7.9488,8.0873,8.1765,8.3642,8.4886,8.5599,8.5442,8.1157
0,6.1639,6.7542,7.2213,8.0149,8.1612,8.5169,8.7962,8.9145,8.7975,8.8376,8.8509,8.8288,8.6746,8.7153,8.6092,8.4602,8.5226,8.7472,8.6469,8.2196
0,5.4399,5.967,6.5592,7.1612,7.4937,7.5753,7.8282,7.9824,7.9768,8.1199,8.2,8.2223,8.5444,8.7822,8.6562,8.4081,8.3491,8.4443,8.504,8.123
0,5.6946,6.3428,6.9447,7.6488,7.9358,7.6339,7.6809,7.6417,7.6313,7.7151,7.7383,7.8783,8.2117,8.4124,8.39,8.3941,8.5166,8.5964,8.6392,8.1475
0,5.34,5.8831,6.5643,7.2015,7.607,7.363,7.3157,7.2201,7.2628,7.3721,7.3996,7.5159,7.7786,8.0711,8.1887,8.3216,8.4587,8.553,8.6481,8.1574
0,4.9408,5.4333,6.1508,6.7893,6.9967,7.0937,7.2632,7.205,7.262,7.3703,7.4548,7.5718,7.7505,8.016,8.1319,8.0707,7.9699,7.9316,7.9562,7.6305
0,6.0881,6.6879,7.2656,7.7259,8.1203,8.1273,8.4218,8.5539,8.6349,8.6993,8.5804,8.5599,8.6768,8.8262,8.7873,8.7398,8.7218,8.7925,8.7673,8.2737
0,5.2465,5.9547,6.6066,7.3221,7.5642,7.2777,7.0137,6.8383,6.8563,6.879,6.9526,7.1022,7.3298,7.5566,7.8249,8.0167,8.0422,8.1112,8.037,7.7304
0,4.7304,5.1985,5.8033,6.5233,6.6076,6.6545,6.984,7.2195,7.3912,7.397,7.4394,7.5449,7.7282,8.0079,7.9882,7.7616,7.6331,7.8172,7.9845,7.6675
0,5.2777,5.8718,6.6653,7.4055,7.3369,7.2203,7.4003,7.5299,7.5453,7.6938,7.6314,7.7008,7.7886,7.9123,7.8192,7.7042,7.7224,7.8605,7.9416,7.711
0,3.8106,3.875,4.6739,5.0503,5.3405,5.5774,5.7456,5.7494,5.9568,6.1035,6.3926,6.7638,6.6997,6.8438,6.9856,7.0452,7.1206,7.3658,7.6371,7.5292
0,5.1987,5.6606,6.3574,6.8104,7.0987,7.6074,7.7763,7.7493,7.8074,7.9247,7.969,8.3447,8.6229,8.7664,8.6621,8.6008,8.6998,8.9019,9.0156,8.7622
0,3.3517,3.9315,4.5869,5.0598,5.5728,5.7668,5.9164,6.1524,6.2136,6.2582,6.3454,6.4109,6.627,6.7426,6.8741,7.0951,7.2177,7.4454,7.6659,7.5989
0,6.4486,6.6837,7.4664,7.9189,8.3978,8.4082,8.6032,8.5869,8.3487,8.3732,8.4716,8.6749,9.0211,9.3467,9.7654,9.9347,10.041,10.415,11.033,10.39
0,5.979,6.2961,7.3233,7.5439,7.7944,8.6718,8.5413,8.3739,8.2742,8.3746,8.4583,8.7275,9.0119,9.1789,9.2716,9.4826,9.7115,10.248,10.153,9.7226
0,6.0817,6.3356,7.1167,7.1139,7.5094,8.0473,8.2181,8.3767,8.3626,8.4002,8.4418,8.7506,8.9246,9.1492,9.5228,9.7812,9.9394,10.347,10.987,10.634
0,5.7971,6.1666,7.141,7.0304,7.617,7.8718,7.9156,7.7538,7.7995,7.7982,8.05,8.4832,8.5487,8.5979,8.8557,9.0695,9.4854,10.017,10.364,9.8923
0,6.1338,6.3868,7.0579,7.5057,7.7898,7.9412,8.5296,8.6385,8.5163,8.7283,8.6286,8.8686,9.0927,9.2724,9.4587,9.7259,10.017,10.341,10.848,10.427
0,6.2262,6.5233,7.2604,7.481,7.726,8.1448,8.6144,8.604,8.5616,8.7009,8.8473,9.1871,9.4936,9.7602,9.9699,10.141,10.429,10.54,10.481,10.161
0,4.8881,5.1954,5.9134,6.3594,6.4365,7.0313,7.3327,7.3077,7.2695,7.4168,7.5611,7.8705,8.343,8.6311,8.669,8.7413,8.8728,9.2689,9.544,9.2751
0,6.5345,6.7756,7.5587,7.8916,8.2205,8.6194,8.8969,8.7837,8.7958,8.7726,8.9841,9.2133,9.2845,9.4868,9.7585,10.019,10.427,10.878,11.185,10.684
0,5.4414,5.7687,6.6113,6.8095,7.4585,7.8057,7.7717,7.8535,7.7386,7.812,7.9004,8.1868,8.5817,8.8633,9.0354,9.331,9.7658,9.9195,10.215,9.9722
0,6.4736,6.7998,7.676,7.9008,8.5058,8.6762,8.8394,8.6087,8.4432,8.5108,8.735,8.8818,8.9557,9.2032,9.5666,9.9584,10.346,10.859,11.083,10.527
0,6.5549,7.0455,7.8859,7.7334,8.0489,8.2663,8.3427,8.0417,7.9462,7.9576,8.0837,8.2347,8.2948,8.41,8.6712,9.0174,9.3184,9.7199,9.7506,9.7847
0,3.9865,4.6997,5.4318,5.4673,5.5049,5.6525,5.8031,5.875,5.917,6.1641,6.2218,6.4155,6.6583,6.8912,7.1669,7.4666,7.5485,7.6069,7.4969,7.5147
0,5.4291,6.1223,6.8705,6.9852,7.0727,7.1977,7.2694,7.2611,7.2598,7.29,7.4042,7.6925,8.0123,8.2982,8.3831,8.5146,8.5956,8.5441,8.5334,8.337
0,2.5869,3.402,4.1288,4.1184,4.1097,4.2405,4.4587,4.6748,4.9357,5.1951,5.3425,5.5565,5.7343,5.7463,5.9515,6.2737,6.314,6.4462,6.3748,6.4262
0,6.7867,7.4964,8.0862,8.2611,8.2898,8.1924,8.0914,8.0421,7.9765,8.0857,8.0885,8.1628,8.2803,8.4104,8.5299,8.6927,8.8491,8.9135,8.8041,8.568
0,5.1937,5.9269,6.5845,6.4591,6.2897,6.2343,6.3037,6.3761,6.3929,6.4234,6.4918,6.7041,6.9941,7.1255,7.3411,7.7329,7.8613,7.9738,7.8652,7.633
0,4.1693,4.8494,5.609,5.7064,5.7529,5.9782,6.1367,6.248,6.2954,6.3639,6.3416,6.5788,6.9133,7.2968,7.5242,7.7165,7.8038,7.8584,7.7607,7.6806
0,3.9566,4.7728,5.5846,5.4477,5.2764,5.3362,5.5373,5.6078,5.5533,5.7195,5.869,6.2064,6.5273,6.5021,6.6314,7.0721,7.2462,7.3185,7.2564,7.1755
0,3.2753,4.0469,4.8092,4.8825,4.9786,5.0624,5.1049,5.1949,5.2553,5.4048,5.4947,5.6866,5.9379,6.1258,6.452,7.0709,7.3135,7.3597,7.345,7.1947
0,4.9598,5.6335,6.395,6.4837,6.5491,6.7944,6.9178,7.0004,7.0058,7.1553,7.235,7.3472,7.3675,7.3171,7.3775,7.5721,7.6043,7.7209,7.7849,7.7036
0,4.6462,5.4863,6.2986,6.1167,5.8828,5.8602,5.9077,5.9595,5.8379,6.0052,6.1237,6.3566,6.6873,6.7567,6.882,7.2854,7.4719,7.5661,7.4352,7.4553
0,2.8855,3.5141,4.1808,4.4193,4.5503,4.8857,5.108,5.2871,5.403,5.5875,5.7296,5.9795,6.2275,6.4282,6.5687,6.7584,6.8966,7.0926,7.0349,6.973
0,2.5284,3.2368,4.0935,4.1098,4.456,4.5832,4.9196,5.1563,5.3024,5.409,5.5108,5.7024,5.9633,6.2102,6.3262,6.4434,6.7104,6.8384,6.8542,6.7482
0,5.0156,5.7362,6.8315,6.2983,6.8288,6.8128,6.9876,7.0961,7.132,7.0915,7.1206,7.2357,7.5032,7.9359,8.3481,8.6304,8.859,8.8147,8.8335,8.5387
0,4.1221,4.8724,5.6805,5.2533,5.9218,5.5944,5.9733,6.1154,6.3274,6.3477,6.3602,6.4743,7.0393,7.4507,7.6302,7.7433,7.9288,7.9351,7.927,7.7063
0,4.7905,5.6579,6.5041,6.0429,6.6007,6.2833,6.2801,6.3984,6.4065,6.4746,6.7117,6.8246,7.1247,7.3415,7.3555,7.4992,7.7418,7.6959,7.716,7.6138
0,4.9614,5.7967,6.6479,6.3454,7.1251,6.8645,6.9981,6.8938,6.7916,6.6771,6.5978,6.676,7.0962,7.465,7.8507,8.0658,8.0332,8.0994,8.4331,8.0075
0,4.1578,5.1361,5.6356,5.7039,6.0511,6.0375,5.9967,6.0214,6.0003,6.0301,6.1029,6.0865,6.4462,6.8038,7.0263,7.2816,7.4312,7.5157,7.6486,7.4404
0,3.6815,4.6225,5.122,5.2297,5.4238,5.5649,5.6805,5.8888,5.9428,5.9758,6.1682,6.294,6.6106,6.7227,6.9313,6.981,7.0514,7.0596,7.3561,7.2509
0,5.0392,6.0635,6.6402,6.3565,6.9863,6.6895,6.982,7.3345,7.0731,7.0319,7.0501,7.2175,7.4944,7.6173,7.5842,7.5693,7.765,7.8723,8.0989,7.8299
0,3.7515,4.7319,5.2609,5.3427,5.72,5.6325,5.8782,5.9595,5.8955,5.9049,5.951,6.0211,6.3149,6.5803,6.8387,6.9477,7.0655,7.097,7.3379,7.2956
0,4.9662,6.025,6.7133,6.4813,6.9756,6.856,7.268,7.5445,7.4122,7.3725,7.3017,7.3801,7.6411,7.5557,7.3439,7.3089,7.4833,7.7263,7.9839,7.6701
0,4.9815,5.8276,6.4664,6.4072,7.0006,6.9307,7.0383,7.1825,7.0939,7.1408,7.1595,7.1489,7.4407,7.762,7.8966,7.9333,7.9587,8.0354,8.204,7.9646
0,4.9557,5.9965,6.6994,6.6224,7.1866,7.0817,7.3389,7.6057,7.3319,7.3,7.3185,7.2765,7.4464,7.5332,7.444,7.3557,7.3461,7.4096,7.7526,7.6908
0,3.8478,4.5052,5.2534,5.3428,5.7356,5.7178,5.901,5.9139,5.9064,5.9773,6.1234,6.24,6.6448,6.932,7.0958,7.1533,7.2878,7.3536,7.6156,7.5555
0,4.2464,4.9922,5.6866,5.6316,6.259,6.2338,6.4175,6.3354,6.3251,6.3146,6.42,6.5957,6.7764,7.0881,7.3017,7.3418,7.6425,7.7837,8.0102,7.7732
0,4.1163,4.9611,5.5632,5.6642,6.0008,6.1146,6.2296,6.2426,6.2814,6.3092,6.3911,6.5991,6.8716,6.9465,6.9834,7.1162,7.4677,7.5104,7.5468,7.4921
0,3.3266,4.237,4.8139,4.9113,5.0122,5.0204,5.0215,5.1504,5.2232,5.372,5.6268,5.6693,5.923,6.07,6.1424,6.3548,6.6535,6.7287,6.7879,6.9145
