@relation 'features_mfcc_hamming_avg4s-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-B2-M-1.0-Rlast'

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 0 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
-6.389,-5.8822,-7.0229,-12.585,-4.4524,-10.797,-5.1992,-5.6296,-4.0964,-4.7051,-5.0933,-3.7796,'\'(-inf-0.5]\''
-8.8049,-4.2802,-5.6908,-12.275,-2.992,-7.7595,-4.3348,-0.88953,-2.7134,-4.4583,-4.0474,-3.4191,'\'(-inf-0.5]\''
-6.0589,-4.0947,-5.4364,-8.5968,-2.2797,-5.2765,-3.7164,-3.0871,-2.7728,-2.8467,-3.5089,-1.9942,'\'(-inf-0.5]\''
-8.9462,-2.3623,-6.821,-10.217,-1.5588,-6.6639,-3.7028,-4.7764,-3.8007,-4.2506,-3.0273,-4.1267,'\'(-inf-0.5]\''
-5.4097,-4.2286,-6.5974,-15.087,-3.5808,-9.3797,-4.5027,-3.0945,-3.8619,-7.1122,-7.4882,-3.5581,'\'(-inf-0.5]\''
-9.3527,-4.3921,-5.0071,-9.674,-1.3757,-5.3301,-3.7554,-2.4985,-3.3907,-3.8241,-3.5916,-2.0852,'\'(-inf-0.5]\''
-7.0553,-3.988,-7.2404,-11.593,-3.2103,-9.3534,-2.2987,-4.5258,-4.2526,-4.9705,-7.3722,-2.4285,'\'(-inf-0.5]\''
-8.1272,-5.2208,-5.4806,-7.9511,-1.1975,-5.2527,-3.7856,-3.443,-3.3196,-2.7349,-4.0188,-1.0932,'\'(-inf-0.5]\''
-5.6525,-7.2822,-5.4658,-12.388,-4.6986,-5.2105,-2.9181,-4.3745,-4.1219,-3.8831,-6.957,-3.2541,'\'(-inf-0.5]\''
-6.2347,-5.0092,-5.9819,-9.8811,-3.4733,-6.014,-3.2867,-2.505,-3.0191,-5.5006,-5.2017,-3.0917,'\'(-inf-0.5]\''
-8.4545,-4.6915,-4.4791,-5.8505,-2.3372,-3.7343,-1.4131,-2.4132,-0.93228,-1.0601,-1.2299,-0.96859,'\'(-inf-0.5]\''
-6.5574,-3.2718,-7.0132,-6.4096,-3.0715,-5.3211,-1.2628,-2.3972,-2.4611,-3.8814,-2.6291,-0.62566,'\'(-inf-0.5]\''
-8.4226,-3.5848,-2.756,-3.64,-1.1697,-1.4183,0.66408,-1.8453,-2.6343,-0.20909,0.061176,-0.33226,'\'(-inf-0.5]\''
-12.717,-6.3767,-5.4734,-14.625,-0.69478,-7.3417,4.7441,-6.9382,-6.0256,-1.4455,-4.8828,-0.60373,'\'(-inf-0.5]\''
-11.664,-3.9853,-7.1742,-13.623,-4.3493,-8.1051,2.8989,-5.5452,-3.5805,-2.1282,-5.1386,-2.8856,'\'(-inf-0.5]\''
-12.402,-4.1247,-5.5957,-15.697,-3.0465,-7.6829,2.5568,-7.1089,-3.1105,-2.3053,-7.8356,-2.9471,'\'(-inf-0.5]\''
-12.484,-4.6861,-4.3836,-13.365,-3.2318,-5.19,0.88785,-5.4362,-3.4853,-2.8873,-3.6401,-2.19,'\'(-inf-0.5]\''
-9.6007,-4.7758,-4.3142,-13.969,-6.6227,-6.7432,-0.36029,-6.3421,-4.4709,-2.3863,-6.9322,-4.491,'\'(-inf-0.5]\''
-11.721,-5.5528,-4.7002,-10.638,-2.8446,-4.9798,-0.35185,-6.5063,-5.2567,-2.0474,-5.4141,-2.8527,'\'(-inf-0.5]\''
-11.551,-4.5956,-3.9221,-14.884,-5.6372,-3.103,-1.6041,-4.0529,-2.3273,-3.1347,-4.459,-2.9206,'\'(-inf-0.5]\''
-11.268,-3.0083,-4.1898,-17.246,-5.097,-6.672,0.49456,-5.9004,-4.6565,-2.2404,-7.4884,-3.7822,'\'(-inf-0.5]\''
-11.846,-3.864,-5.8613,-11.595,-5.726,-5.2559,-1.611,-5.4013,-1.8289,-3.598,-3.6699,-2.0106,'\'(-inf-0.5]\''
-10.978,-4.2214,-5.915,-11.105,-4.011,-5.6015,-1.4861,-7.2673,-5.5425,-2.238,-4.4424,-3.4381,'\'(-inf-0.5]\''
-10.795,-1.7734,-4.7854,-13.582,-5.5471,-7.5316,-2.8522,-5.1644,-3.0854,-3.5567,-4.1246,-3.3133,'\'(-inf-0.5]\''
-12.616,-2.9801,-6.5595,-12.006,0.11847,-4.8254,-0.18523,-3.3894,-2.3575,-2.6605,-4.1529,-1.43,'\'(-inf-0.5]\''
-6.0058,-3.5133,-6.2167,-14.953,-4.4414,-6.7663,-1.2962,-5.9546,-5.1417,-2.7784,-8.5418,-3.6541,'\'(-inf-0.5]\''
-6.7868,1.3967,-7.3364,-13.433,-6.8615,-8.1264,-4.3978,-2.1155,-3.7768,-2.8389,-5.7194,-2.3274,'\'(-inf-0.5]\''
-5.1221,-1.5321,-5.2106,-16.441,-6.5286,-6.203,-2.9377,-1.6025,-5.0919,-2.2249,-5.1639,-4.0004,'\'(-inf-0.5]\''
-6.2997,-5.0047,-7.3381,-11.546,-4.2536,-6.2981,-1.4988,-4.4514,-5.7621,-2.4557,-4.1511,-2.3374,'\'(-inf-0.5]\''
-6.0011,-3.8183,-5.8062,-12.319,-5.6175,-2.9881,-3.2905,-4.2339,-5.2117,-3.2657,-6.7078,-1.4684,'\'(-inf-0.5]\''
-5.3171,-4.8081,-8.5365,-14.562,-6.3726,-3.448,-3.1111,-1.8343,-3.2367,-2.6714,-4.9644,-1.1982,'\'(-inf-0.5]\''
-5.9926,0.95842,-4.2017,-15.936,-6.9895,-7.6959,-4.0678,-1.6577,-4.5881,-2.5426,-5.7926,-2.6059,'\'(-inf-0.5]\''
-10.338,-5.4865,-6.7334,-13.099,-4.8235,-4.973,-4.1035,-3.4439,-3.1171,-3.6594,-4.4345,-0.62994,'\'(-inf-0.5]\''
-6.675,-2.0112,-4.3642,-16.866,-4.9261,-7.9707,-4.6647,-3.6568,-3.714,-1.3127,-5.9401,-2.3664,'\'(-inf-0.5]\''
-8.6502,-2.1758,-7.5435,-13.249,-4.0078,-5.5701,-5.1005,-1.4643,-4.5045,-4.1867,-5.6735,-2.1983,'\'(-inf-0.5]\''
-5.5183,-3.503,-7.5315,-10.867,-5.6924,-7.45,-3.9907,-3.2681,-4.9928,-4.4091,-5.5232,-2.7035,'\'(-inf-0.5]\''
-3.9983,0.74686,-6.0757,-11.662,-6.4439,-10.068,-3.5864,-5.3139,-7.0039,-2.2124,-8.9778,-2.5156,'\'(-inf-0.5]\''
-6.0289,-2.5132,-5.4207,-13.969,-5.4413,-5.0105,-2.8256,-3.4504,-5.7032,-2.779,-7.3272,-1.6652,'\'(-inf-0.5]\''
-7.0937,-2.928,-7.3609,-7.582,-8.3187,-1.7924,-3.8394,-5.37,-4.8865,-5.4932,-4.4336,-5.9365,'\'(-inf-0.5]\''
-8.869,-5.3759,-7.2835,-3.4264,-8.1842,-4.0381,-3.3647,-5.0437,-1.9698,-5.8526,-4.4103,-5.0006,'\'(-inf-0.5]\''
-11.331,-0.11521,-5.1038,-8.7624,-4.0522,-3.0563,-0.72691,-3.9978,-2.1756,-4.1044,-2.1835,-2.5862,'\'(-inf-0.5]\''
-10.895,-7.5962,-9.7408,-10.41,-4.6399,-5.1966,-0.30357,-6.2303,-1.9807,-5.2969,-2.2317,-0.59825,'\'(-inf-0.5]\''
-11.029,0.79186,-11.484,-12.474,-1.1605,-7.0718,-5.0919,-5.755,-1.8415,0.41117,0.97443,-3.5839,'\'(-inf-0.5]\''
-13.465,-7.9843,-10.483,-7.0774,-1.4441,-8.8821,-2.0725,-1.8822,11.339,-0.13222,-3.726,-8.1947,'\'(-inf-0.5]\''
-11.428,-5.2113,-6.0659,-11.959,-4.1379,-3.1033,-1.9496,-5.5508,-2.2649,-4.1908,-0.59838,-1.2923,'\'(-inf-0.5]\''
-9.9208,-2.2506,-8.6401,-14.778,-3.309,-8.4818,0.5352,-9.2122,-3.4486,-6.4741,-5.7592,-3.1395,'\'(-inf-0.5]\''
-8.8832,-6.3567,-5.7867,-8.7331,-4.6828,-3.5939,-4.424,-6.1093,-2.8313,-0.43706,1.3587,-0.13268,'\'(-inf-0.5]\''
-8.8651,-6.5107,-9.4453,-7.3549,-3.9678,-7.8045,-2.5053,-5.2978,-3.5306,-2.2977,-1.1932,-0.24669,'\'(-inf-0.5]\''
-9.8708,-2.9814,-5.8897,-10.115,-3.949,-3.7714,-1.4919,-6.9425,-1.6091,-3.9172,-2.7062,0.32701,'\'(-inf-0.5]\''
-8.7182,-5.37,-6.7921,-8.2099,-5.6028,-6.1806,-1.2921,-7.5976,-3.8314,-1.8608,-3.477,-1.2201,'\'(-inf-0.5]\''
-8.944,-3.1161,-6.1179,-4.7319,-4.4936,-2.1601,0.081518,-1.7561,-4.8318,-6.6805,-2.558,1.5317,'\'(-inf-0.5]\''
-6.7148,-1.2499,-9.1534,-10.917,-4.1614,-3.7411,-0.001149,-6.7408,-5.8095,-6.4109,-4.3284,-0.45968,'\'(-inf-0.5]\''
-11.387,-4.3442,-8.0626,-6.3579,-5.1282,-2.7021,-2.2161,-6.7634,-3.1709,-0.43424,0.033498,-1.2764,'\'(-inf-0.5]\''
-8.2674,-3.6796,-9.5759,-11.751,-8.6595,-6.5191,-1.2312,-7.0296,-2.5067,-8.412,-4.8635,-2.3084,'\'(-inf-0.5]\''
-8.5993,-0.43656,-6.5804,-12.648,-3.9127,-6.0207,-5.6829,-3.8517,2.3673,-3.198,-1.7913,-1.339,'\'(-inf-0.5]\''
-10.928,-1.2223,-5.616,-10.61,-7.6679,-3.8816,-5.2706,-5.2326,0.38164,-2.5975,-4.5176,0.13173,'\'(-inf-0.5]\''
-13.123,-2.0112,-5.1628,-9.0295,-3.2829,-2.3446,-6.2996,-2.0367,-0.4897,-4.8476,-2.57,-2.7337,'\'(-inf-0.5]\''
-9.2949,-4.649,-4.5201,-12.6,-6.3865,-3.9684,-3.3921,-3.8041,0.66727,-3.2941,-3.8882,-1.601,'\'(-inf-0.5]\''
