@relation 'features_mfcc_hamming_avg4s_nozeros-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-B2-M-1.0-Rlast'

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 0 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
-6.828,-5.9463,-7.2684,-12.538,-4.5452,-10.864,-5.1736,-5.685,-4.1267,-4.6791,-5.14,-3.7702,'\'(-inf-0.5]\''
-8.6495,-4.6097,-6.0939,-13.442,-3.31,-8.369,-4.545,-0.89566,-2.757,-5.0181,-4.4014,-3.6314,'\'(-inf-0.5]\''
-7.8107,-4.2664,-6.8882,-11.611,-2.3343,-6.8751,-5.4725,-4.4774,-3.6947,-4.3615,-3.7892,-3.1337,'\'(-inf-0.5]\''
-8.2378,-3.1113,-7.0942,-12.034,-2.6736,-8.1525,-3.5662,-3.6577,-4.4213,-5.1799,-5.0636,-4.1899,'\'(-inf-0.5]\''
-9.1818,-3.8583,-5.8964,-11.575,-2.4219,-7.7043,-4.1153,-4.0319,-3.3374,-5.0785,-5.5167,-2.5809,'\'(-inf-0.5]\''
-7.173,-5.4617,-6.9138,-13.118,-2.9644,-8.371,-2.8531,-3.3353,-4.1571,-5.1725,-7.0146,-3.2936,'\'(-inf-0.5]\''
-9.5065,-5.3723,-7.021,-9.4286,-2.8832,-7.2385,-4.4564,-4.6821,-4.2588,-4.1348,-5.343,-1.1317,'\'(-inf-0.5]\''
-6.4789,-6.8686,-6.1495,-13.909,-2.6669,-6.0083,-4.1503,-4.3074,-4.2311,-4.6121,-6.9754,-3.5719,'\'(-inf-0.5]\''
-6.0276,-6.7981,-6.6811,-12.06,-4.6192,-6.9894,-2.696,-3.3878,-4.015,-5.9456,-6.5619,-3.3589,'\'(-inf-0.5]\''
-11.216,-6.6088,-6.3721,-7.8252,-3.7368,-5.4949,-1.9596,-3.0113,-1.8844,-2.1047,-2.3307,-0.83987,'\'(-inf-0.5]\''
-12.077,-3.198,-7.139,-5.7927,-3.3561,-4.5043,-1.7757,-2.6708,-2.5924,-3.1602,-2.2145,-0.8595,'\'(-inf-0.5]\''
-12.436,-8.3055,-6.18,-13.963,0.50792,-6.8218,5.4548,-6.7939,-7.3947,-1.3011,-3.2672,-0.97266,'\'(-inf-0.5]\''
-12.236,-3.5958,-6.1737,-13.604,-4.5998,-7.8329,2.9409,-5.3791,-3.4901,-1.9065,-5.1164,-2.243,'\'(-inf-0.5]\''
-11.844,-4.0819,-6.3895,-16.005,-3.9062,-8.0254,3.1901,-6.7727,-2.9051,-2.0912,-7.9701,-2.747,'\'(-inf-0.5]\''
-12.717,-4.9772,-4.647,-12.217,-2.3693,-4.7622,0.66377,-5.8378,-3.6614,-2.8974,-3.1008,-2.4194,'\'(-inf-0.5]\''
-10.164,-4.7497,-4.3599,-15.6,-6.421,-6.6635,0.17774,-7.1575,-3.7012,-2.4622,-7.0926,-4.0953,'\'(-inf-0.5]\''
-10.1,-4.8025,-5.035,-12.083,-3.4986,-6.9139,-0.97404,-6.5512,-6.7729,-2.395,-6.6029,-3.9088,'\'(-inf-0.5]\''
-13.185,-4.6606,-3.375,-12.713,-3.9854,-2.5846,-1.2235,-3.6305,-2.1549,-2.7339,-3.4478,-2.3598,'\'(-inf-0.5]\''
-11.177,-2.6023,-4.0764,-17.557,-5.5524,-6.5903,0.44355,-5.1701,-3.6162,-1.8308,-7.3274,-3.5574,'\'(-inf-0.5]\''
-11.659,-4.1485,-6.0441,-11.518,-4.9099,-4.8215,-1.6262,-6.1176,-2.8585,-3.6436,-4.0979,-2.1097,'\'(-inf-0.5]\''
-11.342,-3.7737,-5.1114,-12.528,-5.5569,-5.234,-0.9885,-6.8089,-3.6256,-2.4443,-5.1015,-3.0777,'\'(-inf-0.5]\''
-11.001,-1.2978,-4.8922,-13.451,-5.2159,-8.5416,-3.1019,-4.9936,-3.639,-3.0279,-3.755,-3.4933,'\'(-inf-0.5]\''
-12.269,-5.257,-7.011,-9.5877,-1.1484,-4.1267,-0.081527,-4.555,-3.1712,-3.4691,-3.8668,-1.3559,'\'(-inf-0.5]\''
-7.2427,-3.1634,-5.9101,-16.311,-4.5311,-7.186,-0.88573,-5.4444,-4.419,-2.362,-8.0442,-3.4347,'\'(-inf-0.5]\''
-5.8467,1.3328,-7.0939,-14.538,-4.7856,-7.91,-4.5556,-2.7569,-4.4218,-2.9338,-6.4776,-3.1275,'\'(-inf-0.5]\''
-5.2125,-1.875,-5.5984,-15.002,-7.6583,-5.6181,-3.0168,-2.1175,-4.8243,-2.4281,-5.5961,-3.5456,'\'(-inf-0.5]\''
-6.4657,-4.4506,-7.3035,-12.569,-4.2657,-6.2655,-1.9174,-3.8094,-5.9747,-2.7853,-3.6945,-2.8445,'\'(-inf-0.5]\''
-6.7531,-3.3726,-4.8095,-12.851,-6.1571,-3.0437,-2.585,-4.1613,-5.5554,-3.4755,-6.5821,-1.153,'\'(-inf-0.5]\''
